Abbreviation,Ankle,Back,Calf,COVID19,Foot,Groin,Hamstring,Head,Knee,Knock,Muscles,Shoulder,Thigh,OthCauses,OthMembers
ARS,11.11,0.0,16.67,5.56,0.0,9.26,0.0,5.56,9.26,11.11,1.85,1.85,22.22,3.7,1.85
AST,5.56,0.0,11.11,0.0,11.11,5.56,0.0,0.0,22.22,5.56,0.0,0.0,22.22,5.56,11.11
BHA,14.29,2.04,8.16,2.04,2.04,14.29,2.04,0.0,10.2,18.37,2.04,0.0,20.41,4.08,0.0
BUR,12.96,5.56,9.26,0.0,3.7,11.11,3.7,3.7,5.56,12.96,0.0,1.85,24.07,1.85,3.7
CHE,6.98,2.33,2.33,2.33,4.65,0.0,4.65,2.33,11.63,13.95,4.65,4.65,39.53,0.0,0.0
PAL,2.22,0.0,8.89,8.89,6.67,4.44,2.22,0.0,0.0,42.22,6.67,2.22,15.56,0.0,0.0
EVE,11.67,5.0,10.0,0.0,3.33,1.67,6.67,1.67,1.67,26.67,3.33,0.0,15.0,0.0,13.33
FUL,15.38,0.0,3.85,7.69,3.85,0.0,0.0,0.0,3.85,42.31,0.0,0.0,15.38,0.0,7.69
LEE,6.82,2.27,6.82,2.27,2.27,20.45,0.0,0.0,2.27,22.73,13.64,2.27,6.82,4.55,6.82
LEI,6.67,4.44,6.67,2.22,2.22,22.22,0.0,4.44,20.0,0.0,0.0,0.0,24.44,2.22,4.44
LIV,3.64,3.64,1.82,7.27,1.82,3.64,5.45,0.0,14.55,14.55,18.18,1.82,16.36,3.64,3.64
MNC,7.32,0.0,2.44,19.51,4.88,4.88,2.44,2.44,7.32,14.63,14.63,0.0,14.63,4.88,0.0
MNU,12.28,10.53,0.0,3.51,1.75,7.02,1.75,0.0,5.26,45.61,0.0,3.51,5.26,0.0,3.51
NEW,7.81,0.0,9.38,6.25,1.56,15.62,1.56,0.0,7.81,18.75,3.12,3.12,20.31,3.12,1.56
SHU,12.5,5.0,2.5,2.5,0.0,10.0,2.5,7.5,7.5,37.5,2.5,2.5,7.5,0.0,0.0
SOT,6.98,0.0,9.3,2.33,2.33,6.98,4.65,4.65,6.98,16.28,9.3,0.0,25.58,0.0,4.65
TOT,9.76,2.44,9.76,2.44,4.88,4.88,0.0,0.0,4.88,34.15,2.44,2.44,17.07,4.88,0.0
WBA,17.24,13.79,3.45,24.14,0.0,0.0,3.45,0.0,10.34,6.9,3.45,0.0,10.34,0.0,6.9
WHU,8.51,2.13,4.26,10.64,0.0,10.64,6.38,2.13,14.89,14.89,0.0,0.0,21.28,0.0,4.26
WOL,3.12,0.0,3.12,12.5,3.12,12.5,3.12,6.25,18.75,18.75,6.25,3.12,3.12,3.12,3.12
