,TeamName,Abbreviation,PlayerNumbers,InjuredPlayers,Ankle,Back,Calf,COVID19,Foot,Groin,Hamstring,Head,Knee,Knock,Muscles,Shoulder,Thigh,OthCauses,OthMembers
0,Arsenal,ARS,30.0,25.0,6.0,0.0,9.0,3.0,0.0,5.0,0.0,3.0,5.0,6.0,1.0,1.0,12.0,2.0,1.0
1,Aston Villa,AST,26.0,14.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,2.0
2,Brighton & Hove Albion,BHA,27.0,22.0,7.0,1.0,4.0,1.0,1.0,7.0,1.0,0.0,5.0,9.0,1.0,0.0,10.0,2.0,0.0
3,Burnley,BUR,23.0,20.0,7.0,3.0,5.0,0.0,2.0,6.0,2.0,2.0,3.0,7.0,0.0,1.0,13.0,1.0,2.0
4,Chelsea,CHE,30.0,19.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,5.0,6.0,2.0,2.0,17.0,0.0,0.0
5,Crystal Palace,PAL,27.0,22.0,1.0,0.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,19.0,3.0,1.0,7.0,0.0,0.0
6,Everton,EVE,27.0,26.0,7.0,3.0,6.0,0.0,2.0,1.0,4.0,1.0,1.0,16.0,2.0,0.0,9.0,0.0,8.0
7,Fulham,FUL,26.0,14.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,4.0,0.0,2.0
8,Leeds United,LEE,24.0,17.0,3.0,1.0,3.0,1.0,1.0,9.0,0.0,0.0,1.0,10.0,6.0,1.0,3.0,2.0,3.0
9,Leicester City,LEI,26.0,18.0,3.0,2.0,3.0,1.0,1.0,10.0,0.0,2.0,9.0,0.0,0.0,0.0,11.0,1.0,2.0
10,Liverpool,LIV,29.0,27.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,0.0,8.0,8.0,10.0,1.0,9.0,2.0,2.0
11,Manchester City,MNC,25.0,19.0,3.0,0.0,1.0,8.0,2.0,2.0,1.0,1.0,3.0,6.0,6.0,0.0,6.0,2.0,0.0
12,Manchester United,MNU,32.0,19.0,7.0,6.0,0.0,2.0,1.0,4.0,1.0,0.0,3.0,26.0,0.0,2.0,3.0,0.0,2.0
13,Newcastle United,NEW,26.0,24.0,5.0,0.0,6.0,4.0,1.0,10.0,1.0,0.0,5.0,12.0,2.0,2.0,13.0,2.0,1.0
14,Sheffield United,SHU,25.0,16.0,5.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,15.0,1.0,1.0,3.0,0.0,0.0
15,Southampton,SOT,23.0,21.0,3.0,0.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,7.0,4.0,0.0,11.0,0.0,2.0
16,Tottenham Hotspur,TOT,30.0,19.0,4.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,14.0,1.0,1.0,7.0,2.0,0.0
17,West Bromwich Albion,WBA,27.0,18.0,5.0,4.0,1.0,7.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0
18,West Ham United,WHU,26.0,19.0,4.0,1.0,2.0,5.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,0.0,10.0,0.0,2.0
19,Wolverhampton Wanderers,WOL,25.0,16.0,1.0,0.0,1.0,4.0,1.0,4.0,1.0,2.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0
TOTAL,,,534.0,395.0,81.0,27.0,59.0,50.0,24.0,77.0,24.0,18.0,77.0,188.0,42.0,14.0,156.0,18.0,32.0
