Abbreviation,Ankle,Back,Calf,COVID19,Foot,Groin,Hamstring,Head,Knee,Knock,Muscles,Shoulder,Thigh,OthCauses,OthMembers
ARS,11.11111111111111,0.0,16.666666666666664,5.555555555555555,0.0,9.25925925925926,0.0,5.555555555555555,9.25925925925926,11.11111111111111,1.8518518518518516,1.8518518518518516,22.22222222222222,3.7037037037037033,1.8518518518518516
AST,5.555555555555555,0.0,11.11111111111111,0.0,11.11111111111111,5.555555555555555,0.0,0.0,22.22222222222222,5.555555555555555,0.0,0.0,22.22222222222222,5.555555555555555,11.11111111111111
BHA,14.285714285714285,2.0408163265306123,8.16326530612245,2.0408163265306123,2.0408163265306123,14.285714285714285,2.0408163265306123,0.0,10.204081632653061,18.367346938775512,2.0408163265306123,0.0,20.408163265306122,4.081632653061225,0.0
BUR,12.962962962962962,5.555555555555555,9.25925925925926,0.0,3.7037037037037033,11.11111111111111,3.7037037037037033,3.7037037037037033,5.555555555555555,12.962962962962962,0.0,1.8518518518518516,24.074074074074073,1.8518518518518516,3.7037037037037033
CHE,6.976744186046512,2.3255813953488373,2.3255813953488373,2.3255813953488373,4.651162790697675,0.0,4.651162790697675,2.3255813953488373,11.627906976744185,13.953488372093023,4.651162790697675,4.651162790697675,39.53488372093023,0.0,0.0
PAL,2.2222222222222223,0.0,8.88888888888889,8.88888888888889,6.666666666666667,4.444444444444445,2.2222222222222223,0.0,0.0,42.22222222222222,6.666666666666667,2.2222222222222223,15.555555555555555,0.0,0.0
EVE,11.666666666666666,5.0,10.0,0.0,3.3333333333333335,1.6666666666666667,6.666666666666667,1.6666666666666667,1.6666666666666667,26.666666666666668,3.3333333333333335,0.0,15.0,0.0,13.333333333333334
FUL,15.384615384615385,0.0,3.8461538461538463,7.6923076923076925,3.8461538461538463,0.0,0.0,0.0,3.8461538461538463,42.30769230769231,0.0,0.0,15.384615384615385,0.0,7.6923076923076925
LEE,6.8181818181818175,2.272727272727273,6.8181818181818175,2.272727272727273,2.272727272727273,20.454545454545457,0.0,0.0,2.272727272727273,22.727272727272727,13.636363636363635,2.272727272727273,6.8181818181818175,4.545454545454546,6.8181818181818175
LEI,6.666666666666667,4.444444444444445,6.666666666666667,2.2222222222222223,2.2222222222222223,22.22222222222222,0.0,4.444444444444445,20.0,0.0,0.0,0.0,24.444444444444443,2.2222222222222223,4.444444444444445
LIV,3.6363636363636362,3.6363636363636362,1.8181818181818181,7.2727272727272725,1.8181818181818181,3.6363636363636362,5.454545454545454,0.0,14.545454545454545,14.545454545454545,18.181818181818183,1.8181818181818181,16.363636363636363,3.6363636363636362,3.6363636363636362
MNC,7.317073170731707,0.0,2.4390243902439024,19.51219512195122,4.878048780487805,4.878048780487805,2.4390243902439024,2.4390243902439024,7.317073170731707,14.634146341463413,14.634146341463413,0.0,14.634146341463413,4.878048780487805,0.0
MNU,12.280701754385964,10.526315789473683,0.0,3.508771929824561,1.7543859649122806,7.017543859649122,1.7543859649122806,0.0,5.263157894736842,45.614035087719294,0.0,3.508771929824561,5.263157894736842,0.0,3.508771929824561
NEW,7.8125,0.0,9.375,6.25,1.5625,15.625,1.5625,0.0,7.8125,18.75,3.125,3.125,20.3125,3.125,1.5625
SHU,12.5,5.0,2.5,2.5,0.0,10.0,2.5,7.5,7.5,37.5,2.5,2.5,7.5,0.0,0.0
SOT,6.976744186046512,0.0,9.30232558139535,2.3255813953488373,2.3255813953488373,6.976744186046512,4.651162790697675,4.651162790697675,6.976744186046512,16.27906976744186,9.30232558139535,0.0,25.581395348837212,0.0,4.651162790697675
TOT,9.75609756097561,2.4390243902439024,9.75609756097561,2.4390243902439024,4.878048780487805,4.878048780487805,0.0,0.0,4.878048780487805,34.146341463414636,2.4390243902439024,2.4390243902439024,17.073170731707318,4.878048780487805,0.0
WBA,17.24137931034483,13.793103448275861,3.4482758620689653,24.137931034482758,0.0,0.0,3.4482758620689653,0.0,10.344827586206897,6.896551724137931,3.4482758620689653,0.0,10.344827586206897,0.0,6.896551724137931
WHU,8.51063829787234,2.127659574468085,4.25531914893617,10.638297872340425,0.0,10.638297872340425,6.382978723404255,2.127659574468085,14.893617021276595,14.893617021276595,0.0,0.0,21.27659574468085,0.0,4.25531914893617
WOL,3.125,0.0,3.125,12.5,3.125,12.5,3.125,6.25,18.75,18.75,6.25,3.125,3.125,3.125,3.125
